# Time-averaged data for fix 3
tstep t T P density a b c Etot Eke Epe Epair
1275 105100 124.938 119.887 1.2237 37.845 37.845 37.845 -782.3 372.044 -1154.34 -1154.34
1300 105200 130.686 146.078 1.22144 37.8683 37.8683 37.8683 -761.178 389.161 -1150.34 -1150.34
1325 105300 130.581 181.901 1.21395 37.946 37.946 37.946 -746.151 388.849 -1135 -1135
1350 105400 130.171 113.412 1.19974 38.0953 38.0953 38.0953 -744.077 387.627 -1131.7 -1131.7
1375 105500 128.566 60.2452 1.18594 38.2425 38.2425 38.2425 -740.586 382.846 -1123.43 -1123.43
1400 105600 135.564 32.5985 1.17838 38.3241 38.3241 38.3241 -717.32 403.686 -1121.01 -1121.01
1425 105700 133.706 57.5706 1.17855 38.3223 38.3223 38.3223 -717.858 398.155 -1116.01 -1116.01
1450 105800 126.182 106.733 1.18281 38.2762 38.2762 38.2762 -735.45 375.75 -1111.2 -1111.2
1475 105900 129.206 119.952 1.18625 38.2392 38.2392 38.2392 -732.763 384.754 -1117.52 -1117.52
1500 106000 129.729 140.748 1.18696 38.2315 38.2315 38.2315 -729.241 386.31 -1115.55 -1115.55
1525 106100 132.277 96.974 1.18388 38.2646 38.2646 38.2646 -726.755 393.898 -1120.65 -1120.65
1550 106200 127.885 66.2388 1.18115 38.2941 38.2941 38.2941 -738.222 380.821 -1119.04 -1119.04
1575 106300 124.968 25.0889 1.18253 38.2792 38.2792 38.2792 -754.849 372.134 -1126.98 -1126.98
1600 106400 128.529 94.1068 1.1906 38.1925 38.1925 38.1925 -742.413 382.738 -1125.15 -1125.15
1625 106500 136.327 155.582 1.19899 38.1032 38.1032 38.1032 -721.842 405.96 -1127.8 -1127.8
1650 106600 134.502 135.992 1.20144 38.0773 38.0773 38.0773 -734.078 400.525 -1134.6 -1134.6
1675 106700 125.73 161.352 1.199 38.1031 38.1031 38.1031 -747.872 374.402 -1122.27 -1122.27
1700 106800 129.05 104.723 1.19121 38.186 38.186 38.186 -739.721 384.29 -1124.01 -1124.01
1725 106900 130.252 104.475 1.18236 38.2811 38.2811 38.2811 -723.658 387.867 -1111.53 -1111.53
1750 107000 129.701 88.7138 1.17379 38.374 38.374 38.374 -715.39 386.227 -1101.62 -1101.62
1775 107100 130.803 37.6527 1.16786 38.4388 38.4388 38.4388 -713.735 389.509 -1103.24 -1103.24
1800 107200 131 31.4439 1.16869 38.4297 38.4297 38.4297 -715.633 390.095 -1105.73 -1105.73
1825 107300 130.044 78.0457 1.17624 38.3473 38.3473 38.3473 -719.971 387.25 -1107.22 -1107.22
1850 107400 128.719 142.145 1.18529 38.2495 38.2495 38.2495 -722.857 383.303 -1106.16 -1106.16
1875 107500 132.688 115.821 1.19036 38.1951 38.1951 38.1951 -724.739 395.121 -1119.86 -1119.86
1900 107600 128.829 88.08 1.19334 38.1633 38.1633 38.1633 -743.109 383.632 -1126.74 -1126.74
1925 107700 127.501 79.1094 1.197 38.1244 38.1244 38.1244 -753.022 379.675 -1132.7 -1132.7
1950 107800 130.593 93.6104 1.20263 38.0647 38.0647 38.0647 -749.926 388.884 -1138.81 -1138.81
1975 107900 131.297 151.847 1.20815 38.0067 38.0067 38.0067 -743.937 390.979 -1134.92 -1134.92
2000 108000 133.304 147.64 1.20831 38.005 38.005 38.005 -739.859 396.956 -1136.82 -1136.82
2025 108100 127.218 128.506 1.20346 38.056 38.056 38.056 -754.072 378.834 -1132.91 -1132.91
2050 108200 124.422 104.992 1.19547 38.1406 38.1406 38.1406 -756.875 370.507 -1127.38 -1127.38
2075 108300 132.04 62.0232 1.18759 38.2247 38.2247 38.2247 -735.827 393.192 -1129.02 -1129.02
2100 108400 131.469 52.7354 1.18416 38.2617 38.2617 38.2617 -734.43 391.492 -1125.92 -1125.92
2125 108500 130.075 55.1351 1.18601 38.2417 38.2417 38.2417 -741.107 387.342 -1128.45 -1128.45
2150 108600 126.799 107.408 1.19221 38.1753 38.1753 38.1753 -749.507 377.586 -1127.09 -1127.09
2175 108700 128.009 139.344 1.19728 38.1214 38.1214 38.1214 -749.045 381.187 -1130.23 -1130.23
2200 108800 133.602 153.054 1.19784 38.1154 38.1154 38.1154 -733.116 397.843 -1130.96 -1130.96
2225 108900 130.788 148.238 1.19283 38.1687 38.1687 38.1687 -732.574 389.464 -1122.04 -1122.04
2250 109000 125.96 103.524 1.18377 38.2659 38.2659 38.2659 -739.388 375.088 -1114.48 -1114.48
2275 109100 132.409 25.8129 1.17624 38.3474 38.3474 38.3474 -727.109 394.292 -1121.4 -1121.4
2300 109200 136.233 21.7133 1.17678 38.3414 38.3414 38.3414 -718.134 405.678 -1123.81 -1123.81
2325 109300 127.741 69.7812 1.18459 38.257 38.257 38.257 -740.56 380.391 -1120.95 -1120.95
2350 109400 129.194 99.078 1.19373 38.1591 38.1591 38.1591 -743.571 384.719 -1128.29 -1128.29
2375 109500 131.176 129.701 1.20073 38.0848 38.0848 38.0848 -742.297 390.621 -1132.92 -1132.92
2400 109600 129.135 143.743 1.20335 38.0572 38.0572 38.0572 -748.967 384.543 -1133.51 -1133.51
2425 109700 123.101 138.938 1.20092 38.0828 38.0828 38.0828 -761.463 366.575 -1128.04 -1128.04
2450 109800 129.418 86.5788 1.19551 38.1402 38.1402 38.1402 -747.413 385.384 -1132.8 -1132.8
2475 109900 130.547 119.937 1.19141 38.1838 38.1838 38.1838 -730.16 388.745 -1118.91 -1118.91
2500 110000 132.03 89.3716 1.18663 38.2351 38.2351 38.2351 -725.046 393.164 -1118.21 -1118.21
2525 110100 130.307 52.8922 1.18375 38.2661 38.2661 38.2661 -732.845 388.033 -1120.88 -1120.88
2550 110200 123.944 57.5163 1.18568 38.2453 38.2453 38.2453 -751.439 369.084 -1120.52 -1120.52
2575 110300 128.903 104.952 1.19154 38.1825 38.1825 38.1825 -738.799 383.851 -1122.65 -1122.65
2600 110400 135.747 166.734 1.19631 38.1316 38.1316 38.1316 -717.034 404.231 -1121.27 -1121.27
2625 110500 132.191 144.037 1.1941 38.1551 38.1551 38.1551 -726.851 393.641 -1120.49 -1120.49
2650 110600 129.236 66.7355 1.18775 38.2231 38.2231 38.2231 -740.68 384.844 -1125.52 -1125.52
2675 110700 127.372 47.9143 1.18472 38.2556 38.2556 38.2556 -747.079 379.291 -1126.37 -1126.37
2700 110800 128.075 122.805 1.18665 38.2349 38.2349 38.2349 -734.624 381.387 -1116.01 -1116.01
2725 110900 135.495 142.484 1.18652 38.2363 38.2363 38.2363 -710.711 403.48 -1114.19 -1114.19
