# Time-averaged data for fix 3
tstep t T P density a b c Etot Eke Epe Epair
12725 150900 134.969 58.8906 1.19099 38.1883 38.1883 38.1883 -724.431 401.914 -1126.34 -1126.34
12750 151000 129.747 105.778 1.19558 38.1394 38.1394 38.1394 -736.572 386.364 -1122.94 -1122.94
12775 151100 125.256 115.493 1.20069 38.0852 38.0852 38.0852 -754.197 372.99 -1127.19 -1127.19
12800 151200 130.688 111.993 1.20471 38.0429 38.0429 38.0429 -745.228 389.167 -1134.39 -1134.39
12825 151300 134.583 100.453 1.20796 38.0087 38.0087 38.0087 -740.34 400.764 -1141.1 -1141.1
12850 151400 125.929 83.9524 1.21157 37.9709 37.9709 37.9709 -769.1 374.996 -1144.1 -1144.1
12875 151500 124.87 124.956 1.21676 37.9169 37.9169 37.9169 -771.541 371.84 -1143.38 -1143.38
12900 151600 132.663 137.922 1.22009 37.8822 37.8822 37.8822 -755.187 395.047 -1150.23 -1150.23
12925 151700 132.722 130.169 1.21923 37.8912 37.8912 37.8912 -755.545 395.224 -1150.77 -1150.77
12950 151800 126.628 98.4857 1.21491 37.9361 37.9361 37.9361 -771.9 377.077 -1148.98 -1148.98
12975 151900 123.434 114.52 1.20962 37.9913 37.9913 37.9913 -770.945 367.565 -1138.51 -1138.51
13000 152000 131.506 130.646 1.20201 38.0713 38.0713 38.0713 -739.513 391.602 -1131.12 -1131.12
13025 152100 129.168 107.163 1.19053 38.1932 38.1932 38.1932 -736.674 384.64 -1121.31 -1121.31
13050 152200 129.026 68.8174 1.17767 38.3318 38.3318 38.3318 -728.709 384.216 -1112.93 -1112.93
13075 152300 132.028 46.136 1.16779 38.4396 38.4396 38.4396 -713.627 393.156 -1106.78 -1106.78
13100 152400 132.613 31.5526 1.16398 38.4814 38.4814 38.4814 -709.825 394.899 -1104.72 -1104.72
13125 152500 128.313 17.5789 1.168 38.4373 38.4373 38.4373 -728.367 382.095 -1110.46 -1110.46
13150 152600 125.357 67.8429 1.18088 38.2971 38.2971 38.2971 -742.647 373.291 -1115.94 -1115.94
13175 152700 131.733 142.645 1.19724 38.1218 38.1218 38.1218 -733.751 392.278 -1126.03 -1126.03
13200 152800 132.012 205.566 1.20807 38.0075 38.0075 38.0075 -734.384 393.11 -1127.49 -1127.49
13225 152900 128.856 192.134 1.20734 38.0152 38.0152 38.0152 -742.785 383.71 -1126.49 -1126.49
13250 153000 128.897 116.267 1.19751 38.1189 38.1189 38.1189 -744.359 383.833 -1128.19 -1128.19
13275 153100 127.131 86.6699 1.18648 38.2366 38.2366 38.2366 -740.697 378.575 -1119.27 -1119.27
13300 153200 130.354 67.3557 1.17809 38.3272 38.3272 38.3272 -726.597 388.173 -1114.77 -1114.77
13325 153300 131.69 79.6875 1.17394 38.3723 38.3723 38.3723 -718.199 392.15 -1110.35 -1110.35
13350 153400 129.186 109.184 1.17205 38.3929 38.3929 38.3929 -718.499 384.694 -1103.19 -1103.19
13375 153500 133.294 94.0966 1.16994 38.4161 38.4161 38.4161 -708.884 396.927 -1105.81 -1105.81
13400 153600 132.745 106.623 1.1685 38.4318 38.4318 38.4318 -705.056 395.291 -1100.35 -1100.35
13425 153700 127.99 90.3226 1.16669 38.4516 38.4516 38.4516 -717.5 381.132 -1098.63 -1098.63
13450 153800 127.89 57.2025 1.16598 38.4595 38.4595 38.4595 -722.741 380.834 -1103.57 -1103.57
13475 153900 132.502 59.2994 1.16961 38.4196 38.4196 38.4196 -714.15 394.569 -1108.72 -1108.72
13500 154000 134.066 117.84 1.17717 38.3372 38.3372 38.3372 -708.758 399.227 -1107.98 -1107.98
13525 154100 127.633 139.902 1.18249 38.2797 38.2797 38.2797 -727.249 380.069 -1107.32 -1107.32
13550 154200 128.451 80.5739 1.18391 38.2644 38.2644 38.2644 -737.391 382.506 -1119.9 -1119.9
13575 154300 128.088 105.158 1.18627 38.2389 38.2389 38.2389 -735.553 381.425 -1116.98 -1116.98
13600 154400 139.75 99.4267 1.18849 38.2151 38.2151 38.2151 -712.118 416.153 -1128.27 -1128.27
13625 154500 131.974 142.603 1.18975 38.2016 38.2016 38.2016 -726.435 392.995 -1119.43 -1119.43
13650 154600 127.639 115.025 1.18723 38.2286 38.2286 38.2286 -739.604 380.087 -1119.69 -1119.69
13675 154700 130.322 63.773 1.18342 38.2696 38.2696 38.2696 -735.717 388.077 -1123.79 -1123.79
13700 154800 131.515 65.1329 1.1831 38.273 38.273 38.273 -730.923 391.628 -1122.55 -1122.55
13725 154900 128.881 121.88 1.18602 38.2416 38.2416 38.2416 -731.055 383.785 -1114.84 -1114.84
13750 155000 131.451 114.036 1.18698 38.2313 38.2313 38.2313 -727.217 391.439 -1118.66 -1118.66
13775 155100 132.206 89.2352 1.18664 38.235 38.235 38.235 -729.117 393.687 -1122.8 -1122.8
13800 155200 125.532 100.282 1.18713 38.2297 38.2297 38.2297 -744.151 373.813 -1117.96 -1117.96
13825 155300 128.788 84.3061 1.18801 38.2202 38.2202 38.2202 -739.551 383.508 -1123.06 -1123.06
13850 155400 136.783 104.28 1.19017 38.1971 38.1971 38.1971 -717.628 407.315 -1124.94 -1124.94
13875 155500 132.415 126.172 1.19152 38.1827 38.1827 38.1827 -726.423 394.309 -1120.73 -1120.73
13900 155600 124.709 127.678 1.18995 38.1995 38.1995 38.1995 -743.93 371.361 -1115.29 -1115.29
13925 155700 130.728 66.0136 1.18636 38.2379 38.2379 38.2379 -736.66 389.286 -1125.95 -1125.95
13950 155800 129.503 103.58 1.1853 38.2494 38.2494 38.2494 -730.948 385.637 -1116.59 -1116.59
13975 155900 131.322 127.749 1.18417 38.2615 38.2615 38.2615 -721.255 391.053 -1112.31 -1112.31
14000 156000 134.707 123.511 1.18046 38.3015 38.3015 38.3015 -709.564 401.135 -1110.7 -1110.7
14025 156100 130.738 96.4096 1.17432 38.3682 38.3682 38.3682 -716.578 389.317 -1105.89 -1105.89
14050 156200 124.849 38.6958 1.16922 38.4239 38.4239 38.4239 -735.33 371.779 -1107.11 -1107.11
14075 156300 129.571 24.6723 1.17071 38.4076 38.4076 38.4076 -728.785 385.84 -1114.62 -1114.62
14100 156400 133.735 120.132 1.17896 38.3178 38.3178 38.3178 -711.343 398.241 -1109.58 -1109.58
14125 156500 131.373 199.273 1.18488 38.2539 38.2539 38.2539 -711.527 391.207 -1102.73 -1102.73
14150 156600 121.886 162.064 1.18063 38.2997 38.2997 38.2997 -735.92 362.956 -1098.88 -1098.88
14175 156700 129.905 32.2976 1.1711 38.4034 38.4034 38.4034 -725.904 386.834 -1112.74 -1112.74
14200 156800 132.647 28.2271 1.16831 38.4339 38.4339 38.4339 -713.939 395.001 -1108.94 -1108.94
14225 156900 128.862 97.8794 1.17258 38.3872 38.3872 38.3872 -715.321 383.728 -1099.05 -1099.05
14250 157000 131.95 79.0867 1.17787 38.3296 38.3296 38.3296 -717.932 392.923 -1110.85 -1110.85
14275 157100 127.913 82.8763 1.18463 38.2565 38.2565 38.2565 -735.179 380.903 -1116.08 -1116.08
14300 157200 126.629 114.35 1.19251 38.1721 38.1721 38.1721 -742.283 377.08 -1119.36 -1119.36
14325 157300 134.537 100.231 1.19892 38.104 38.104 38.104 -733.573 400.629 -1134.2 -1134.2
14350 157400 131.337 116.388 1.20435 38.0466 38.0466 38.0466 -746.399 391.099 -1137.5 -1137.5
14375 157500 122.55 175.711 1.20695 38.0193 38.0193 38.0193 -762.057 364.933 -1126.99 -1126.99
14400 157600 128.252 153.005 1.2021 38.0704 38.0704 38.0704 -746.037 381.914 -1127.95 -1127.95
14425 157700 131.172 92.9079 1.19217 38.1757 38.1757 38.1757 -736.278 390.607 -1126.89 -1126.89
14450 157800 130.553 46.0288 1.18389 38.2645 38.2645 38.2645 -735.986 388.766 -1124.75 -1124.75
14475 157900 126.765 70.9568 1.18151 38.2902 38.2902 38.2902 -739.073 377.485 -1116.56 -1116.56
14500 158000 132.047 99.5131 1.18236 38.2811 38.2811 38.2811 -722.234 393.214 -1115.45 -1115.45
14525 158100 136.467 98.4487 1.18339 38.27 38.27 38.27 -712.871 406.377 -1119.25 -1119.25
14550 158200 128.68 109.101 1.18423 38.2609 38.2609 38.2609 -733.233 383.186 -1116.42 -1116.42
14575 158300 125.829 132.596 1.1839 38.2645 38.2645 38.2645 -737.083 374.698 -1111.78 -1111.78
14600 158400 131.243 108.199 1.18069 38.2991 38.2991 38.2991 -724.93 390.819 -1115.75 -1115.75
14625 158500 128.463 134.083 1.17592 38.3508 38.3508 38.3508 -720.424 382.539 -1102.96 -1102.96
14650 158600 131.539 73.5162 1.16902 38.4261 38.4261 38.4261 -716.147 391.701 -1107.85 -1107.85
14675 158700 128.947 62.5465 1.1647 38.4736 38.4736 38.4736 -717.52 383.982 -1101.5 -1101.5
14700 158800 131.475 39.5786 1.16533 38.4666 38.4666 38.4666 -717.122 391.511 -1108.63 -1108.63
14725 158900 128.481 105.736 1.17132 38.4009 38.4009 38.4009 -720.078 382.594 -1102.67 -1102.67
14750 159000 130.111 144.814 1.17666 38.3427 38.3427 38.3427 -715.259 387.447 -1102.71 -1102.71
14775 159100 139.283 128.767 1.17732 38.3356 38.3356 38.3356 -694.461 414.76 -1109.22 -1109.22
14800 159200 133.939 94.9637 1.17516 38.359 38.359 38.359 -710.84 398.848 -1109.69 -1109.69
14825 159300 125.482 102.629 1.1731 38.3814 38.3814 38.3814 -726.897 373.663 -1100.56 -1100.56
14850 159400 133.601 31.3606 1.17174 38.3963 38.3963 38.3963 -716.709 397.841 -1114.55 -1114.55
14875 159500 133.218 37.2066 1.17685 38.3407 38.3407 38.3407 -721.975 396.701 -1118.68 -1118.68
14900 159600 126.529 109.674 1.18824 38.2178 38.2178 38.2178 -741.867 376.782 -1118.65 -1118.65
14925 159700 129.036 173.643 1.19783 38.1155 38.1155 38.1155 -738.202 384.248 -1122.45 -1122.45
14950 159800 130.698 189.15 1.19886 38.1045 38.1045 38.1045 -731.827 389.195 -1121.02 -1121.02
14975 159900 131.601 111.684 1.19153 38.1825 38.1825 38.1825 -733.04 391.885 -1124.93 -1124.93
15000 160000 121.416 61.112 1.18328 38.2711 38.2711 38.2711 -755.034 361.557 -1116.59 -1116.59
15025 160100 125.844 -15.5047 1.18099 38.2958 38.2958 38.2958 -755.443 374.741 -1130.18 -1130.18
15050 160200 130.387 90.9273 1.18893 38.2104 38.2104 38.2104 -733.204 388.271 -1121.47 -1121.47
15075 160300 129.758 192.845 1.19657 38.1288 38.1288 38.1288 -726.288 386.397 -1112.69 -1112.69
15100 160400 129.608 199.953 1.19426 38.1535 38.1535 38.1535 -722.782 385.949 -1108.73 -1108.73
15125 160500 133.616 108.138 1.18295 38.2747 38.2747 38.2747 -714.264 397.887 -1112.15 -1112.15
15150 160600 134.689 48.8079 1.17297 38.3829 38.3829 38.3829 -709.116 401.082 -1110.2 -1110.2
15175 160700 122.914 83.2413 1.16947 38.4211 38.4211 38.4211 -728.828 366.016 -1094.84 -1094.84
15200 160800 127.633 82.7333 1.16858 38.4309 38.4309 38.4309 -716.852 380.069 -1096.92 -1096.92
15225 160900 133.159 83.1254 1.16954 38.4203 38.4203 38.4203 -703.149 396.524 -1099.67 -1099.67
15250 161000 133.28 62.4408 1.17197 38.3938 38.3938 38.3938 -709.05 396.885 -1105.93 -1105.93
15275 161100 130.707 37.5107 1.17785 38.3299 38.3299 38.3299 -727.867 389.223 -1117.09 -1117.09
15300 161200 127.841 107.428 1.18894 38.2103 38.2103 38.2103 -735.671 380.689 -1116.36 -1116.36
15325 161300 130.905 156.724 1.19883 38.1049 38.1049 38.1049 -732.363 389.814 -1122.18 -1122.18
15350 161400 131.7 161.004 1.20187 38.0728 38.0728 38.0728 -733.607 392.181 -1125.79 -1125.79
15375 161500 125.313 109.756 1.1986 38.1074 38.1074 38.1074 -754.117 373.16 -1127.28 -1127.28
15400 161600 122.596 84.621 1.19433 38.1527 38.1527 38.1527 -759.605 365.069 -1124.67 -1124.67
15425 161700 129.678 87.4063 1.19189 38.1787 38.1787 38.1787 -739.565 386.16 -1125.72 -1125.72
15450 161800 129.866 124.367 1.19025 38.1963 38.1963 38.1963 -732.092 386.718 -1118.81 -1118.81
15475 161900 130.897 120.666 1.18613 38.2404 38.2404 38.2404 -726.056 389.789 -1115.84 -1115.84
15500 162000 129.687 114.178 1.17981 38.3086 38.3086 38.3086 -721.244 386.186 -1107.43 -1107.43
15525 162100 134.796 73.7928 1.17262 38.3867 38.3867 38.3867 -706.811 401.401 -1108.21 -1108.21
15550 162200 133.343 64.558 1.16815 38.4357 38.4357 38.4357 -707.392 397.073 -1104.46 -1104.46
15575 162300 127.204 35.9993 1.16811 38.4361 38.4361 38.4361 -730.192 378.792 -1108.98 -1108.98
15600 162400 126.969 72.2422 1.1745 38.3663 38.3663 38.3663 -731.935 378.091 -1110.03 -1110.03
15625 162500 132.044 128.85 1.18405 38.2628 38.2628 38.2628 -721.62 393.205 -1114.82 -1114.82
15650 162600 131.139 185.586 1.1899 38.2 38.2 38.2 -720.501 390.51 -1111.01 -1111.01
15675 162700 128.651 101.077 1.18735 38.2273 38.2273 38.2273 -738.82 383.1 -1121.92 -1121.92
15700 162800 122.686 40.5858 1.18446 38.2583 38.2583 38.2583 -760.759 365.337 -1126.1 -1126.1
15725 162900 127.983 84.0487 1.18726 38.2283 38.2283 38.2283 -741.309 381.113 -1122.42 -1122.42
15750 163000 134.424 97.627 1.19216 38.1759 38.1759 38.1759 -727.871 400.293 -1128.16 -1128.16
15775 163100 129.101 142.446 1.19678 38.1266 38.1266 38.1266 -737.767 384.442 -1122.21 -1122.21
15800 163200 126.335 136.436 1.19722 38.122 38.122 38.122 -745.504 376.205 -1121.71 -1121.71
15825 163300 132.586 100.791 1.19427 38.1534 38.1534 38.1534 -731.885 394.818 -1126.7 -1126.7
15850 163400 135.104 149.354 1.18996 38.1994 38.1994 38.1994 -710.729 402.316 -1113.05 -1113.05
15875 163500 132.619 86.543 1.18104 38.2952 38.2952 38.2952 -718.568 394.918 -1113.49 -1113.49
15900 163600 125.524 20.7082 1.17314 38.381 38.381 38.381 -739.21 373.788 -1113 -1113
15925 163700 127.081 27.7529 1.17318 38.3806 38.3806 38.3806 -733.967 378.425 -1112.39 -1112.39
15950 163800 129.672 108.943 1.18081 38.2978 38.2978 38.2978 -721.391 386.143 -1107.53 -1107.53
15975 163900 134.544 144.934 1.18837 38.2163 38.2163 38.2163 -712.049 400.649 -1112.7 -1112.7
16000 164000 130.777 124.914 1.19172 38.1805 38.1805 38.1805 -729.124 389.431 -1118.56 -1118.56
16025 164100 128.98 76.7292 1.19295 38.1674 38.1674 38.1674 -744.166 384.079 -1128.25 -1128.25
16050 164200 128.623 109.965 1.19588 38.1363 38.1363 38.1363 -742.543 383.016 -1125.56 -1125.56
16075 164300 132.652 125.614 1.19835 38.11 38.11 38.11 -734.932 395.015 -1129.95 -1129.95
16100 164400 130.479 137.718 1.19802 38.1135 38.1135 38.1135 -738.856 388.543 -1127.4 -1127.4
16125 164500 122.978 102.606 1.19331 38.1635 38.1635 38.1635 -756.927 366.207 -1123.13 -1123.13
16150 164600 128.764 38.7366 1.18743 38.2265 38.2265 38.2265 -744.449 383.436 -1127.89 -1127.89
16175 164700 132.906 58.5777 1.18646 38.2369 38.2369 38.2369 -726.058 395.772 -1121.83 -1121.83
16200 164800 131.77 77.808 1.19074 38.191 38.191 38.191 -730.976 392.388 -1123.36 -1123.36
16225 164900 127.279 154.852 1.19844 38.109 38.109 38.109 -739.498 379.016 -1118.51 -1118.51
16250 165000 129.843 180.648 1.20198 38.0716 38.0716 38.0716 -734.274 386.649 -1120.92 -1120.92
16275 165100 138.222 162.683 1.19681 38.1263 38.1263 38.1263 -710.986 411.602 -1122.59 -1122.59
16300 165200 135.107 98.3506 1.1835 38.2687 38.2687 38.2687 -713.699 402.325 -1116.02 -1116.02
16325 165300 126.187 -9.48204 1.16964 38.4193 38.4193 38.4193 -738.775 375.762 -1114.54 -1114.54
16350 165400 126.452 -2.69096 1.16624 38.4566 38.4566 38.4566 -731.16 376.553 -1107.71 -1107.71
16375 165500 135.2 15.5867 1.17473 38.3637 38.3637 38.3637 -716.501 402.604 -1119.1 -1119.1
16400 165600 128.99 160.388 1.19156 38.1823 38.1823 38.1823 -725.271 384.11 -1109.38 -1109.38
16425 165700 130.846 163.839 1.2037 38.0534 38.0534 38.0534 -736.828 389.637 -1126.46 -1126.46
16450 165800 127.637 131.631 1.20854 38.0025 38.0025 38.0025 -757.411 380.08 -1137.49 -1137.49
16475 165900 124.723 120.816 1.20928 37.9948 37.9948 37.9948 -767.872 371.403 -1139.28 -1139.28
16500 166000 127.041 117.237 1.20785 38.0098 38.0098 38.0098 -760.882 378.308 -1139.19 -1139.19
16525 166100 127.172 152.418 1.20421 38.0481 38.0481 38.0481 -747.419 378.695 -1126.11 -1126.11
16550 166200 131.736 122.572 1.19561 38.1391 38.1391 38.1391 -728.785 392.286 -1121.07 -1121.07
16575 166300 133.613 42.1497 1.18532 38.2491 38.2491 38.2491 -725.577 397.877 -1123.45 -1123.45
16600 166400 127.06 24.0367 1.18104 38.2953 38.2953 38.2953 -741.897 378.363 -1120.26 -1120.26
16625 166500 124.765 75.1063 1.1845 38.258 38.258 38.258 -744.864 371.53 -1116.39 -1116.39
16650 166600 136.002 127.596 1.1909 38.1893 38.1893 38.1893 -717.678 404.991 -1122.67 -1122.67
16675 166700 132.663 184.159 1.19382 38.1582 38.1582 38.1582 -721.035 395.047 -1116.08 -1116.08
16700 166800 127.192 163.747 1.18794 38.221 38.221 38.221 -731.097 378.755 -1109.85 -1109.85
16725 166900 130.767 38.5917 1.17663 38.343 38.343 38.343 -729.633 389.402 -1119.04 -1119.04
16750 167000 131.554 9.43217 1.17134 38.4007 38.4007 38.4007 -723.976 391.744 -1115.72 -1115.72
16775 167100 131.227 71.4214 1.17504 38.3604 38.3604 38.3604 -715.925 390.77 -1106.7 -1106.7
16800 167200 133.345 127.059 1.1818 38.2871 38.2871 38.2871 -708.785 397.079 -1105.86 -1105.86
16825 167300 128.924 156.139 1.18585 38.2435 38.2435 38.2435 -721.544 383.914 -1105.46 -1105.46
16850 167400 125.6 131.853 1.18397 38.2636 38.2636 38.2636 -732.578 374.014 -1106.59 -1106.59
16875 167500 131.072 93.2635 1.17862 38.3214 38.3214 38.3214 -717.86 390.311 -1108.17 -1108.17
16900 167600 136.458 65.2687 1.17435 38.3679 38.3679 38.3679 -703.311 406.35 -1109.66 -1109.66
16925 167700 128.264 60.349 1.17354 38.3767 38.3767 38.3767 -724.347 381.95 -1106.3 -1106.3
16950 167800 125.514 62.0991 1.17711 38.3379 38.3379 38.3379 -736.552 373.759 -1110.31 -1110.31
16975 167900 126.58 157.009 1.18348 38.269 38.269 38.269 -722.349 376.934 -1099.28 -1099.28
17000 168000 135.018 147.761 1.18443 38.2588 38.2588 38.2588 -703.433 402.06 -1105.49 -1105.49
17025 168100 133.932 73.976 1.18042 38.3019 38.3019 38.3019 -714.262 398.827 -1113.09 -1113.09
17050 168200 129.197 21.2519 1.17925 38.3147 38.3147 38.3147 -735.115 384.726 -1119.84 -1119.84
17075 168300 124.92 111.811 1.18542 38.2481 38.2481 38.2481 -737.626 371.99 -1109.62 -1109.62
17100 168400 133.92 135.326 1.19113 38.1869 38.1869 38.1869 -718.706 398.791 -1117.5 -1117.5
17125 168500 131.718 157.395 1.19251 38.1721 38.1721 38.1721 -720.772 392.235 -1113.01 -1113.01
17150 168600 128.018 142.736 1.18805 38.2199 38.2199 38.2199 -726.926 381.215 -1108.14 -1108.14
17175 168700 132.414 37.7723 1.17998 38.3068 38.3068 38.3068 -726.055 394.307 -1120.36 -1120.36
17200 168800 128.601 39.8233 1.17742 38.3345 38.3345 38.3345 -731.971 382.95 -1114.92 -1114.92
17225 168900 130.285 38.6678 1.18185 38.2865 38.2865 38.2865 -733.472 387.967 -1121.44 -1121.44
17250 169000 130.618 59.7287 1.1932 38.1647 38.1647 38.1647 -742.641 388.958 -1131.6 -1131.6
17275 169100 124.683 169.635 1.20769 38.0115 38.0115 38.0115 -754.809 371.284 -1126.09 -1126.09
17300 169200 129.71 217.207 1.21476 37.9376 37.9376 37.9376 -742.067 386.255 -1128.32 -1128.32
17325 169300 132.687 203.995 1.20923 37.9954 37.9954 37.9954 -728.646 395.12 -1123.77 -1123.77
17350 169400 131.36 97.1601 1.19407 38.1555 38.1555 38.1555 -732.438 391.168 -1123.61 -1123.61
17375 169500 123.133 16.4813 1.18076 38.2984 38.2984 38.2984 -751.26 366.67 -1117.93 -1117.93
17400 169600 123.575 10.1492 1.17743 38.3344 38.3344 38.3344 -747.037 367.985 -1115.02 -1115.02
17425 169700 133.716 51.5886 1.1835 38.2687 38.2687 38.2687 -721.972 398.182 -1120.15 -1120.15
17450 169800 131.438 121.215 1.19306 38.1663 38.1663 38.1663 -727.408 391.399 -1118.81 -1118.81
17475 169900 128.387 134.389 1.19936 38.0993 38.0993 38.0993 -741.529 382.314 -1123.84 -1123.84
17500 170000 127.572 124.123 1.20129 38.0789 38.0789 38.0789 -748.085 379.888 -1127.97 -1127.97
17525 170100 131.094 120.415 1.20017 38.0907 38.0907 38.0907 -737.466 390.375 -1127.84 -1127.84
17550 170200 135.561 140.606 1.1969 38.1254 38.1254 38.1254 -718.467 403.677 -1122.14 -1122.14
17575 170300 129.06 125.777 1.19009 38.198 38.198 38.198 -729.128 384.32 -1113.45 -1113.45
17600 170400 126.59 10.9901 1.18278 38.2765 38.2765 38.2765 -748.59 376.964 -1125.55 -1125.55
17625 170500 121.956 12.6968 1.18422 38.261 38.261 38.261 -760.337 363.163 -1123.5 -1123.5
17650 170600 134.636 79.9281 1.19429 38.1531 38.1531 38.1531 -728.933 400.922 -1129.85 -1129.85
17675 170700 133.85 171.415 1.20509 38.0389 38.0389 38.0389 -728.64 398.581 -1127.22 -1127.22
17700 170800 129.309 151.63 1.20829 38.0053 38.0053 38.0053 -748.417 385.059 -1133.48 -1133.48
17725 170900 127.051 120.263 1.20573 38.0321 38.0321 38.0321 -756.699 378.337 -1135.04 -1135.04
17750 171000 128.966 105.597 1.20123 38.0795 38.0795 38.0795 -748.204 384.037 -1132.24 -1132.24
17775 171100 134.871 93.2424 1.19666 38.1279 38.1279 38.1279 -727.777 401.623 -1129.4 -1129.4
17800 171200 133.049 77.3901 1.19303 38.1666 38.1666 38.1666 -728.788 396.198 -1124.99 -1124.99
17825 171300 124.569 16.4798 1.19276 38.1695 38.1695 38.1695 -761.378 370.945 -1132.32 -1132.32
17850 171400 128.418 49.4395 1.20062 38.086 38.086 38.086 -755.852 382.408 -1138.26 -1138.26
17875 171500 133.087 149.236 1.21281 37.958 37.958 37.958 -741.68 396.31 -1137.99 -1137.99
17900 171600 131.129 211.532 1.21916 37.8919 37.8919 37.8919 -743.755 390.48 -1134.24 -1134.24
17925 171700 125.547 145.119 1.21432 37.9422 37.9422 37.9422 -763.963 373.856 -1137.82 -1137.82
17950 171800 126.246 35.7653 1.2051 38.0387 38.0387 38.0387 -769.188 375.938 -1145.13 -1145.13
17975 171900 138.005 5.65363 1.20311 38.0597 38.0597 38.0597 -742.802 410.956 -1153.76 -1153.76
18000 172000 130.557 131.129 1.20985 37.9889 37.9889 37.9889 -748.001 388.778 -1136.78 -1136.78
18025 172100 127.953 164.465 1.2141 37.9445 37.9445 37.9445 -757.747 381.023 -1138.77 -1138.77
18050 172200 126.386 191.281 1.21085 37.9784 37.9784 37.9784 -754.182 376.356 -1130.54 -1130.54
18075 172300 125.9 163.051 1.19836 38.1099 38.1099 38.1099 -744.946 374.909 -1119.86 -1119.86
18100 172400 128.445 86.3934 1.18081 38.2977 38.2977 38.2977 -729.45 382.487 -1111.94 -1111.94
18125 172500 132.537 4.79225 1.1678 38.4394 38.4394 38.4394 -718.06 394.672 -1112.73 -1112.73
18150 172600 129.106 38.1143 1.16549 38.4648 38.4648 38.4648 -718.663 384.454 -1103.12 -1103.12
18175 172700 131.138 64.6297 1.16988 38.4166 38.4166 38.4166 -715.017 390.506 -1105.52 -1105.52
18200 172800 134.202 91.5798 1.17748 38.3339 38.3339 38.3339 -711.191 399.631 -1110.82 -1110.82
18225 172900 130.288 89.3312 1.18511 38.2514 38.2514 38.2514 -730.545 387.975 -1118.52 -1118.52
18250 173000 127.498 98.1806 1.19238 38.1735 38.1735 38.1735 -743.893 379.668 -1123.56 -1123.56
18275 173100 132.186 79.4336 1.19953 38.0975 38.0975 38.0975 -744.113 393.628 -1137.74 -1137.74
18300 173200 128.868 99.5193 1.20758 38.0126 38.0126 38.0126 -759.423 383.747 -1143.17 -1143.17
18325 173300 122.334 152.568 1.2147 37.9383 37.9383 37.9383 -775.941 364.288 -1140.23 -1140.23
18350 173400 130.304 134.777 1.21662 37.9183 37.9183 37.9183 -761.812 388.024 -1149.84 -1149.84
18375 173500 131.29 124.094 1.21449 37.9405 37.9405 37.9405 -758.761 390.96 -1149.72 -1149.72
18400 173600 129.565 98.3214 1.21006 37.9867 37.9867 37.9867 -763.613 385.823 -1149.44 -1149.44
18425 173700 127.329 88.5506 1.20548 38.0347 38.0347 38.0347 -766.028 379.164 -1145.19 -1145.19
18450 173800 131.445 111.996 1.20211 38.0702 38.0702 38.0702 -748.366 391.421 -1139.79 -1139.79
18475 173900 131.033 168.988 1.19694 38.1249 38.1249 38.1249 -732.72 390.194 -1122.91 -1122.91
18500 174000 131.037 121.177 1.18519 38.2505 38.2505 38.2505 -726.879 390.205 -1117.08 -1117.08
18525 174100 132.177 32.862 1.17192 38.3944 38.3944 38.3944 -723.739 393.6 -1117.34 -1117.34
18550 174200 127.284 11.1454 1.16603 38.4589 38.4589 38.4589 -732.344 379.031 -1111.37 -1111.37
18575 174300 125.687 45.7182 1.1698 38.4176 38.4176 38.4176 -735.725 374.275 -1110 -1110
18600 174400 131.298 148.549 1.17865 38.3212 38.3212 38.3212 -714.928 390.982 -1105.91 -1105.91
18625 174500 133.676 189.172 1.18248 38.2797 38.2797 38.2797 -706.318 398.066 -1104.38 -1104.38
18650 174600 132.106 102.101 1.17759 38.3327 38.3327 38.3327 -719.913 393.39 -1113.3 -1113.3
18675 174700 127.637 46.2353 1.17212 38.3922 38.3922 38.3922 -733.662 380.082 -1113.74 -1113.74
18700 174800 126.729 70.7621 1.17206 38.3929 38.3929 38.3929 -729.386 377.377 -1106.76 -1106.76
18725 174900 129.802 122.583 1.17515 38.3592 38.3592 38.3592 -715.278 386.529 -1101.81 -1101.81
18750 175000 131.588 155.825 1.17569 38.3533 38.3533 38.3533 -705.061 391.846 -1096.91 -1096.91
18775 175100 132.65 91.4867 1.17102 38.4042 38.4042 38.4042 -707.658 395.009 -1102.67 -1102.67
18800 175200 123.421 43.6885 1.16719 38.4461 38.4461 38.4461 -734.138 367.525 -1101.66 -1101.66
18825 175300 125.187 29.8243 1.16958 38.42 38.42 38.42 -736.009 372.785 -1108.79 -1108.79
18850 175400 129.115 106.835 1.17862 38.3215 38.3215 38.3215 -723.241 384.483 -1107.72 -1107.72
18875 175500 133.286 160.253 1.18747 38.2261 38.2261 38.2261 -715.477 396.903 -1112.38 -1112.38
18900 175600 128.983 182.324 1.18977 38.2014 38.2014 38.2014 -725.99 384.089 -1110.08 -1110.08
18925 175700 123.182 150.176 1.18319 38.2721 38.2721 38.2721 -738.048 366.815 -1104.86 -1104.86
18950 175800 133.569 63.8761 1.17175 38.3962 38.3962 38.3962 -712.913 397.745 -1110.66 -1110.66
18975 175900 132.99 32.3063 1.16406 38.4806 38.4806 38.4806 -708.873 396.023 -1104.9 -1104.9
19000 176000 130.592 -1.42921 1.16412 38.4799 38.4799 38.4799 -720.831 388.881 -1109.71 -1109.71
19025 176100 129.544 10.8578 1.17496 38.3612 38.3612 38.3612 -735.769 385.76 -1121.53 -1121.53
