# Time-averaged data for fix 3
tstep t T P Etot Eke Epe Epair
2300 9200 135.979 -5.24119 -542.96 404.922 -947.882 -947.882
2325 9300 135.055 9.68341 -541.731 402.171 -943.902 -943.902
2350 9400 128.917 -40.5017 -567.566 383.893 -951.459 -951.459
2375 9500 123.676 -68.2828 -585.247 368.286 -953.533 -953.533
2400 9600 129.783 -90.5038 -573.985 386.47 -960.455 -960.455
2425 9700 133.856 -75.2015 -558.674 398.601 -957.274 -957.274
2450 9800 131.634 -70.0867 -562.841 391.984 -954.826 -954.826
2475 9900 127.858 -81.6795 -576.076 380.738 -956.815 -956.815
2500 10000 125.369 -54.4789 -576.751 373.328 -950.079 -950.079
2525 10100 128.193 8.88944 -554.198 381.738 -935.937 -935.937
2550 10200 140.31 -7.9083 -526.635 417.82 -944.456 -944.456
2575 10300 134.496 -49.8719 -549.375 400.505 -949.879 -949.879
2600 10400 121.381 -86.8312 -591.017 361.452 -952.469 -952.469
2625 10500 123.995 -111.08 -590.254 369.235 -959.489 -959.489
2650 10600 133.356 -80.0886 -558.434 397.112 -955.546 -955.546
2675 10700 138.088 -73.5025 -545.186 411.204 -956.39 -956.39
2700 10800 127.531 -69.57 -570.939 379.766 -950.705 -950.705
2725 10900 125.445 -112.135 -586.78 373.555 -960.335 -960.335
2750 11000 127.603 -93.8768 -577.145 379.979 -957.124 -957.124
2775 11100 133.255 -59.2918 -555.723 396.809 -952.533 -952.533
2800 11200 135.168 -58.9372 -551.739 402.508 -954.246 -954.246
2825 11300 128.301 -73.3716 -573.585 382.06 -955.645 -955.645
2850 11400 122.954 -62.8055 -585.27 366.135 -951.405 -951.405
2875 11500 133.172 -85.8875 -564.938 396.564 -961.502 -961.502
2900 11600 136.819 -102.742 -559.492 407.423 -966.916 -966.916
2925 11700 124.448 -82.4775 -585.739 370.586 -956.325 -956.325
2950 11800 124.11 -83.5038 -585.585 369.58 -955.165 -955.165
2975 11900 135.883 -88.906 -556.671 404.635 -961.306 -961.306
3000 12000 134.178 -55.0441 -554.686 399.56 -954.245 -954.245
3025 12100 127.941 -68.9871 -576.967 380.985 -957.952 -957.952
3050 12200 124.696 -72.0143 -587.803 371.324 -959.127 -959.127
3075 12300 128.818 -43.8662 -572.141 383.599 -955.74 -955.74
3100 12400 135.835 -28.8432 -550.821 404.493 -955.314 -955.314
3125 12500 134.954 -66.7378 -561.908 401.869 -963.777 -963.777
3150 12600 122.906 -76.3898 -593.046 365.992 -959.038 -959.038
3175 12700 126.187 -106.932 -589.948 375.763 -965.711 -965.711
3200 12800 135.211 -108.245 -565.701 402.634 -968.335 -968.335
